ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
25508,Chapmanville,WV,Fast Food Restaurant,Ice Cream Shop,Food & Drink Shop,Residential Building (Apartment / Condo),Drugstore,Assisted Living,Garden Center,Physical Therapist,Hotel,Event Service,0
25510,Culloden,WV,Pool,Building,Cemetery,Car Wash,Elementary School,Campground,Grocery Store,Pizza Place,Discount Store,Event Service,0
25514,Fort Gay,WV,Gas Station,Post Office,Medical Lab,Bank,Automotive Shop,Insurance Office,Library,Emergency Room,Elementary School,Factory,3
25523,Hamlin,WV,Gas Station,Financial or Legal Service,Government Building,Church,Courthouse,Insurance Office,Sandwich Place,Convenience Store,Emergency Room,Doctor\\'s Office,6
25524,Harts,WV,Discount Store,Assisted Living,Gas Station,Lake,Tanning Salon,Taco Place,Comfort Food Restaurant,Middle School,Donut Shop,Factory,3
25526,Hurricane,WV,Automotive Shop,Post Office,Comfort Food Restaurant,Pharmacy,Coffee Shop,Salon / Barbershop,Church,Bakery,Miscellaneous Shop,Gun Shop,7
25530,Kenova,WV,Diner,Post Office,Grocery Store,Building,Medical Supply Store,Office,City Hall,Factory,Discount Store,Distribution Center,0
25535,Lavalette,WV,Gas Station,Automotive Shop,Elementary School,Nail Salon,Discount Store,Salon / Barbershop,Other Great Outdoors,Bar,Post Office,Country Dance Club,3
25541,Milton,WV,Sandwich Place,Chinese Restaurant,Hardware Store,Pizza Place,Fast Food Restaurant,Gas Station,Pharmacy,Bank,Yoga Studio,Dive Bar,3
25545,Ona,WV,Residential Building (Apartment / Condo),Post Office,Gas Station,Bar,Tattoo Parlor,Restaurant,Grocery Store,Medical School,Dessert Shop,Diner,3
25550,Point Pleasant,WV,Lawyer,Fast Food Restaurant,Sculpture Garden,Mexican Restaurant,Building,Courthouse,Movie Theater,Bakery,Automotive Shop,Electronics Store,6
25560,Scott Depot,WV,Post Office,Gas Station,Doctor\\'s Office,Supermarket,Big Box Store,Fast Food Restaurant,Hotel,Harbor / Marina,Department Store,Dessert Shop,3
25570,Wayne,WV,Courthouse,Post Office,Pizza Place,Arts & Crafts Store,Bank,School,Donut Shop,Diner,Discount Store,Distillery,6
25601,Logan,WV,Post Office,Government Building,Mobile Phone Shop,Fast Food Restaurant,Building,Food,Doctor\\'s Office,Diner,Office,Radio Station,0
25661,Williamson,WV,Post Office,Hotel,Financial or Legal Service,Nightclub,Bed & Breakfast,Automotive Shop,Office,Convenience Store,Cosmetics Shop,Drugstore,0
25670,Delbarton,WV,Financial or Legal Service,Convenience Store,Lawyer,Mountain,Veterinarian,Middle School,Office,Pizza Place,Hardware Store,Donut Shop,0
25674,Kermit,WV,Bank,Gas Station,Financial or Legal Service,Bridge,Building,Discount Store,Pizza Place,Fast Food Restaurant,Driving School,Distillery,3
25701,Huntington,WV,Building,Courthouse,City Hall,Government Building,Gas Station,Eye Doctor,Event Space,Diner,Discount Store,Distillery,6
25702,Huntington,WV,Building,Courthouse,City Hall,Government Building,Gas Station,Eye Doctor,Event Space,Diner,Discount Store,Distillery,6
25703,Huntington,WV,Building,Courthouse,City Hall,Government Building,Gas Station,Eye Doctor,Event Space,Diner,Discount Store,Distillery,6
25704,Huntington,WV,Building,Courthouse,City Hall,Government Building,Gas Station,Eye Doctor,Event Space,Diner,Discount Store,Distillery,6
25705,Huntington,WV,Building,Courthouse,City Hall,Government Building,Gas Station,Eye Doctor,Event Space,Diner,Discount Store,Distillery,6
25801,Beckley,WV,Office,University,Restaurant,Bank,Toy / Game Store,Radio Station,Government Building,Courthouse,Sports Bar,Café,6
25813,Beaver,WV,Automotive Shop,Office,Smoke Shop,Restaurant,Rental Car Location,Car Wash,Medical Center,Drugstore,Driving School,Electronics Store,0
25832,Daniels,WV,Post Office,Financial or Legal Service,Bank,Automotive Shop,Church,Smoke Shop,Professional & Other Places,Emergency Room,Doctor\\'s Office,Diner,7
25840,Fayetteville,WV,Antique Shop,Courthouse,Breakfast Spot,Bike Shop,Theater,Beer Bar,City Hall,Arts & Crafts Store,Costume Shop,Construction & Landscaping,6
25880,Mount Hope,WV,Italian Restaurant,History Museum,Gas Station,Hardware Store,Non-Profit,Discount Store,Tourist Information Center,Elementary School,Athletics & Sports,National Park,3
25901,Oak Hill,WV,Gas Station,Sandwich Place,Church,Coffee Shop,Automotive Shop,Medical Center,City Hall,Elementary School,Electronics Store,Drugstore,3
25918,Shady Spring,WV,Discount Store,Car Wash,Miscellaneous Shop,Convenience Store,Gas Station,Middle School,Pharmacy,Distillery,Distribution Center,Dive Bar,3
25951,Hinton,WV,Café,Office,History Museum,City Hall,Movie Theater,Pharmacy,Gym,Shop & Service,Deli / Bodega,Doctor\\'s Office,0
25962,Rainelle,WV,Fast Food Restaurant,Flower Shop,Pool,Hardware Store,Pharmacy,Fire Station,Bakery,Driving School,Discount Store,Distillery,0
25976,Meadow Bridge,WV,Discount Store,High School,Hardware Store,Movie Theater,Bridge,Moving Target,Drugstore,Distillery,Distribution Center,Dive Bar,0
26033,Cameron,WV,Pool,Pharmacy,Flower Shop,Food,Discount Store,Salon / Barbershop,Bar,Bank,Gas Station,Convenience Store,3
26041,Moundsville,WV,Office,Insurance Office,Theater,Diner,Dentist\\'s Office,Bank,Church,Financial or Legal Service,Emergency Room,Distribution Center,7
26101,Parkersburg,WV,Gas Station,Theater,Church,Bar,Bank,Park,Furniture / Home Store,Bus Station,Convenience Store,Doctor\\'s Office,7
26104,Parkersburg,WV,Gas Station,Theater,Church,Bar,Bank,Park,Furniture / Home Store,Bus Station,Convenience Store,Doctor\\'s Office,7
26105,Vienna,WV,Funeral Home,Automotive Shop,Office,Pizza Place,Clothing Store,Discount Store,Financial or Legal Service,Government Building,Tanning Salon,Diner,0
26143,Elizabeth,WV,Gas Station,Courthouse,Office,Diner,Discount Store,Automotive Shop,Sandwich Place,Government Building,High School,Electronics Store,3
26150,Mineral Wells,WV,Hotel,City Hall,Factory,Business Service,Convenience Store,Transportation Service,Drugstore,Discount Store,Distillery,Distribution Center,0
26155,New Martinsville,WV,Hardware Store,Pizza Place,Ice Cream Shop,Bank,Insurance Office,Smoke Shop,Coworking Space,Car Wash,Yoga Studio,Drugstore,0
26159,Paden City,WV,Gas Station,Auto Dealership,Library,Salon / Barbershop,Office,Discount Store,Dentist\\'s Office,Bank,Church,Pizza Place,7
26164,Ravenswood,WV,Gas Station,Antique Shop,Automotive Shop,Pizza Place,Tattoo Parlor,Gym,Financial or Legal Service,Restaurant,Diner,Discount Store,3
26170,Saint Marys,WV,Post Office,Bank,Eye Doctor,Elementary School,Financial or Legal Service,New American Restaurant,City Hall,Optical Shop,Sandwich Place,Country Dance Club,0
26175,Sistersville,WV,Gas Station,Optical Shop,Italian Restaurant,Convenience Store,Hotel,Auto Dealership,Office,Dessert Shop,Diner,Discount Store,3
26181,Washington,WV,Gas Station,Ice Cream Shop,Building,Soccer Field,Border Crossing,Baseball Field,Post Office,Construction & Landscaping,Convenience Store,Convention Center,3
26187,Williamstown,WV,Gas Station,Post Office,High School,Building,Outdoor Supply Store,Elementary School,Park,Doctor\\'s Office,Diner,Discount Store,3
26201,Buckhannon,WV,Salon / Barbershop,Pharmacy,Office,Bistro,Lawyer,Gas Station,Courthouse,Brewery,Hotel,Fast Food Restaurant,6
26205,Craigsville,WV,Comfort Food Restaurant,Discount Store,Sandwich Place,Factory,Gas Station,Chinese Restaurant,Lake,Scenic Lookout,Pharmacy,Diner,3
26206,Cowen,WV,Gas Station,Comfort Food Restaurant,Pharmacy,Campground,Tech Startup,Discount Store,Sandwich Place,Convention Center,Cosmetics Shop,Distillery,3
26218,French Creek,WV,Rental Car Location,Discount Store,Fast Food Restaurant,Gym / Fitness Center,Elementary School,Park,Trail,Supermarket,Donut Shop,Diner,0
26288,Webster Springs,WV,Sandwich Place,Food,Diner,Discount Store,Hot Dog Joint,Hardware Store,Pharmacy,Medical Center,Courthouse,Distillery,0
26301,Clarksburg,WV,Government Building,Post Office,Building,Doctor\\'s Office,Monument / Landmark,Laundry Service,College Academic Building,Gas Station,Hot Dog Joint,Costume Shop,3
26330,Bridgeport,WV,Dentist\\'s Office,Church,Pool,Financial or Legal Service,Medical Lab,Medical Center,Salon / Barbershop,Office,Cosmetics Shop,Costume Shop,7
