ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
45385,Xenia,OH,Courthouse,Design Studio,Café,Shoe Store,General Entertainment,Bank,Bakery,Driving School,Distillery,Distribution Center,6
45387,Yellow Springs,OH,Winery,Pizza Place,Café,Lake,Tourist Information Center,Coffee Shop,Breakfast Spot,Sandwich Place,Music Venue,Yoga Studio,0
45402,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45403,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45404,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45405,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45406,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45409,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45410,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45414,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45415,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45416,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45417,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45419,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45420,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45424,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45426,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45429,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45430,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45431,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45432,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45434,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45439,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45440,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45449,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45458,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45459,Dayton,OH,Bus Station,Coworking Space,Miscellaneous Shop,Bike Shop,Fruit & Vegetable Store,Bank,General Entertainment,Office,Mobile Phone Shop,Hotel,5
45502,Springfield,OH,Courthouse,Office,Post Office,Building,Hotel,Discount Store,New American Restaurant,Restaurant,Doctor\\'s Office,Diner,6
45503,Springfield,OH,Courthouse,Office,Post Office,Building,Hotel,Discount Store,New American Restaurant,Restaurant,Doctor\\'s Office,Diner,6
45504,Springfield,OH,Courthouse,Office,Post Office,Building,Hotel,Discount Store,New American Restaurant,Restaurant,Doctor\\'s Office,Diner,6
45505,Springfield,OH,Courthouse,Office,Post Office,Building,Hotel,Discount Store,New American Restaurant,Restaurant,Doctor\\'s Office,Diner,6
45506,Springfield,OH,Courthouse,Office,Post Office,Building,Hotel,Discount Store,New American Restaurant,Restaurant,Doctor\\'s Office,Diner,6
45601,Chillicothe,OH,Sandwich Place,Bar,Courthouse,Office,Building,Café,Tourist Information Center,Donut Shop,Discount Store,Distillery,6
45612,Bainbridge,OH,Post Office,Pharmacy,Doctor\\'s Office,Funeral Home,Library,Bank,Bakery,Salon / Barbershop,Convenience Store,Cosmetics Shop,0
45613,Beaver,OH,Hardware Store,Post Office,Building,Beer Garden,Funeral Home,Campground,Government Building,Dessert Shop,Doctor\\'s Office,Fabric Shop,0
45614,Bidwell,OH,High School,Business Service,Fast Food Restaurant,Building,Truck Stop,Sandwich Place,Transportation Service,Yoga Studio,Donut Shop,Diner,0
45619,Chesapeake,OH,Discount Store,Financial or Legal Service,Ice Cream Shop,General Travel,Elementary School,Medical Center,Grocery Store,Yoga Studio,Donut Shop,Distillery,0
45623,Crown City,OH,Post Office,Discount Store,Park,Farm,High School,Health & Beauty Service,Hardware Store,Design Studio,Dessert Shop,Diner,0
45628,Frankfort,OH,Gas Station,Pizza Place,Park,Restaurant,Ice Cream Shop,Athletics & Sports,Bank,Automotive Shop,Yoga Studio,Discount Store,3
45629,Franklin Furnace,OH,Gas Station,High School,Bridge,Pharmacy,Coffee Shop,Courthouse,General Travel,Supermarket,Yoga Studio,Driving School,3
45631,Gallipolis,OH,Post Office,Courthouse,Financial or Legal Service,Church,Gas Station,Italian Restaurant,Performing Arts Venue,Mongolian Restaurant,Costume Shop,Country Dance Club,7
45638,Ironton,OH,Comfort Food Restaurant,Courthouse,Doctor\\'s Office,School,Bar,Town Hall,Office,Police Station,Pizza Place,Donut Shop,6
45640,Jackson,OH,Tea Room,Post Office,Art Museum,Nail Salon,Pharmacy,Optical Shop,Ice Cream Shop,Courthouse,Bank,Brewery,6
45644,Kingston,OH,Gas Station,Funeral Home,Laundry Service,Diner,Bar,Coffee Shop,Discount Store,Automotive Shop,Sandwich Place,Dive Bar,3
45645,Kitts Hill,OH,Post Office,University,Fast Food Restaurant,Discount Store,Fried Chicken Joint,Sandwich Place,Gas Station,Rest Area,Automotive Shop,Clothing Store,3
45648,Lucasville,OH,Discount Store,Post Office,Gym / Fitness Center,Funeral Home,Gas Station,General Travel,Automotive Shop,Sandwich Place,Pizza Place,Electronics Store,3
45653,Minford,OH,Automotive Shop,Post Office,Church,Funeral Home,Bank,Gas Station,Pizza Place,Event Service,Emergency Room,Fabric Shop,7
45656,Oak Hill,OH,Post Office,Ice Cream Shop,Church,Discount Store,Lake,Flower Shop,Assisted Living,Auto Garage,Pizza Place,Emergency Room,7
45658,Patriot,OH,Gas Station,Business Service,Fast Food Restaurant,Chiropractor,Breakfast Spot,University,Sandwich Place,Driving School,Discount Store,Distillery,3
45660,Peebles,OH,Hardware Store,Business Service,Discount Store,Pizza Place,Outdoor Supply Store,Bank,Grocery Store,Yoga Studio,Driving School,Distillery,0
45661,Piketon,OH,Post Office,Government Building,Fair,Doctor\\'s Office,Library,Monument / Landmark,Laundry Service,Gas Station,Performing Arts Venue,Motel,3
45662,Portsmouth,OH,Government Building,Park,Police Station,Hotel,Bridge,Steakhouse,College Gym,Courthouse,Credit Union,Distillery,6
45663,West Portsmouth,OH,Bank,Home Service,Veterinarian,Shop & Service,Sandwich Place,Movie Theater,Funeral Home,Pharmacy,Pizza Place,Elementary School,0
45669,Proctorville,OH,Building,Financial or Legal Service,Car Wash,Automotive Shop,Park,Coworking Space,River,Bank,Pet Store,Pharmacy,0
45680,South Point,OH,Business Service,Harbor / Marina,College Library,Restaurant,Gun Shop,Grocery Store,Residential Building (Apartment / Condo),Automotive Shop,Donut Shop,Diner,0
45686,Vinton,OH,Gas Station,Fast Food Restaurant,Sandwich Place,Breakfast Spot,Driving School,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,3
45690,Waverly,OH,Church,Boutique,Office,Art Gallery,General Entertainment,Bar,Auto Dealership,Music Store,Jewelry Store,Yoga Studio,7
45692,Wellston,OH,Gas Station,Funeral Home,Medical Center,Chinese Restaurant,Police Station,Mexican Restaurant,Campground,Supermarket,Distillery,Distribution Center,3
45693,West Union,OH,Lawyer,Financial or Legal Service,Campaign Office,Pharmacy,Bank,Bakery,Clothing Store,Driving School,Discount Store,Distillery,0
45694,Wheelersburg,OH,Discount Store,Hardware Store,Home Service,Funeral Home,Post Office,Financial or Legal Service,Church,Convenience Store,Diner,Distillery,7
45697,Winchester,OH,Post Office,Bank,Building,Doctor\\'s Office,Discount Store,Funeral Home,Church,Gas Station,Motel,Courthouse,7
45701,Athens,OH,Bank,Coffee Shop,Salon / Barbershop,City Hall,Non-Profit,Shipping Store,Bookstore,Church,Drugstore,Driving School,7
45710,Albany,OH,Post Office,Automotive Shop,Office,Diner,Discount Store,Bank,Gas Station,High School,Emergency Room,Distribution Center,3
45714,Belpre,OH,Furniture / Home Store,Automotive Shop,Locksmith,High School,Gas Station,Building,Dentist\\'s Office,Doctor\\'s Office,Medical Center,Church,7
45723,Coolville,OH,Gas Station,Post Office,Sandwich Place,Harbor / Marina,Pizza Place,Tech Startup,Rest Area,Coworking Space,Distillery,Design Studio,3
45732,Glouster,OH,Discount Store,Gas Station,Sandwich Place,Fast Food Restaurant,Pizza Place,Bar,Donut Shop,Diner,Distillery,Distribution Center,3
45742,Little Hocking,OH,Farm,River,Café,Event Space,Campground,Soccer Field,Elementary School,Baseball Field,Gas Station,Ice Cream Shop,3
45744,Lowell,OH,Gas Station,Discount Store,Convenience Store,Campground,Assisted Living,Outdoors & Recreation,Park,Yoga Studio,Donut Shop,Distillery,3
45750,Marietta,OH,Bank,Building,Courthouse,Concert Hall,Pizza Place,Shoe Store,University,Drugstore,Distillery,Distribution Center,6
45760,Middleport,OH,Big Box Store,Preschool,Fast Food Restaurant,Moving Target,Bakery,Castle,Discount Store,Park,Automotive Shop,Yoga Studio,0
45764,Nelsonville,OH,Office,Train Station,Art Gallery,Fast Food Restaurant,Bar,Coffee Shop,Outdoor Supply Store,Diner,Discount Store,Distillery,0
45769,Pomeroy,OH,Brewery,Hobby Shop,Arts & Crafts Store,Burger Joint,Building,Bank,Jewelry Store,Emergency Room,Dive Bar,Doctor\\'s Office,0
45771,Racine,OH,Post Office,Athletics & Sports,Financial or Legal Service,Elementary School,Skate Park,Discount Store,Factory,High School,Convenience Store,Drugstore,0
45780,The Plains,OH,Diner,Library,Pizza Place,Building,Bakery,Auto Dealership,Church,Daycare,Medical Center,Driving School,7
45784,Vincent,OH,Pizza Place,Post Office,Tech Startup,Diner,River,Elementary School,Ice Cream Shop,Trade School,Yoga Studio,Dive Bar,0
45786,Waterford,OH,Discount Store,Hardware Store,Bakery,Automotive Shop,Fast Food Restaurant,Elementary School,Factory,Distillery,Distribution Center,Dive Bar,0
